# "Time","Car.CFL.Tire.FrcC.y","Car.CFR.Tire.FrcC.y","Car.CRL.Tire.FrcC.y","Car.CRR.Tire.FrcC.y","Car.SideSlipAngle","Car.SteerAngleFL","Car.SteerAngleFR","Car.YawRate","Car.ay","Car.v","Car.vx","Car.vy","Driver.Steer.Ang","Vhcl.FL.SideSlip","Vhcl.FR.SideSlip","Vhcl.PoI.ay","Vhcl.RL.SideSlip","Vhcl.RR.SideSlip"
# "C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
# "s","N","N","N","N","rad","rad","rad","rad/s","m/s^2","m/s","m/s","m/s","rad","rad","rad","m/s^2","rad","rad"
9.631,-127.4941711,116.1934586,-26.20247459,19.85169411,-2.284130824e-005,-0.001911484986,0.001667802338,-0.0005893146736,-0.008629301563,14.58103752,14.58038425,-0.0003588757536,-0.002579879947,0.001919604256,-0.001801992999,-0.00860711094,0.001417192747,-0.001326251193
9.641,-127.5049973,116.1910934,-26.20600319,19.84759903,-2.286559175e-005,-0.001911657979,0.001667687437,-0.0005900224787,-0.008639516309,14.58104134,14.58038807,-0.0003592597786,-0.002582922112,0.00191971485,-0.001801965991,-0.008617315441,0.001417241059,-0.001326189609
9.651,-127.5156784,116.1885529,-26.20957375,19.84352112,-2.288980977e-005,-0.00191182876,0.001667570788,-0.0005907298182,-0.008649749681,14.58104515,14.58039188,-0.0003596429888,-0.002585962648,0.001919823932,-0.001801937353,-0.008627542295,0.001417290187,-0.001326128491
9.661,-127.526207,116.1858368,-26.21318436,19.83945847,-2.29139805e-005,-0.001911997562,0.001667452394,-0.0005914365756,-0.008660000749,14.58104897,14.5803957,-0.0003600256168,-0.002589000855,0.001919931266,-0.001801906968,-0.008637789637,0.001417340012,-0.001326067722
9.671,-127.5365601,116.1829376,-26.21683311,19.83541107,-2.293812031e-005,-0.001912164269,0.001667332137,-0.0005921426928,-0.008670267649,14.58105183,14.58039856,-0.0003604078956,-0.002592037199,0.001920036855,-0.001801874721,-0.008648053743,0.00141739042,-0.001326007303
9.681,-127.54673,116.1798401,-26.2205162,19.83137894,-2.296224739e-005,-0.001912328764,0.001667210134,-0.0005928481114,-0.008680548519,14.58105564,14.58040237,-0.0003607901162,-0.00259507075,0.001920140698,-0.001801840612,-0.008658334613,0.001417441294,-0.001325947233
9.691,-127.5567169,116.1765442,-26.22423172,19.82736206,-2.29863781e-005,-0.001912491163,0.001667086268,-0.0005935527734,-0.008690840565,14.5810585,14.58040524,-0.0003611724533,-0.002598101972,0.001920242677,-0.001801804523,-0.008668628521,0.001417492866,-0.001325887511
9.701,-127.5665131,116.1730423,-26.22797775,19.82335854,-2.3010527e-005,-0.001912651467,0.001666960656,-0.0005942566204,-0.008701142855,14.58106232,14.58040905,-0.0003615551686,-0.0026011304,0.001920342562,-0.001801766455,-0.008678934537,0.001417544903,-0.001325828256
9.711,-127.5761032,116.1693344,-26.23175049,19.81937027,-2.303470865e-005,-0.001912809676,0.001666833297,-0.0005949595943,-0.008711452596,14.58106518,14.58041191,-0.000361938437,-0.002604155801,0.001920440467,-0.001801726408,-0.008689248934,0.001417597407,-0.001325769234
9.721,-127.585495,116.1654205,-26.23554993,19.81539536,-2.305893577e-005,-0.001912965672,0.001666704193,-0.0005956616369,-0.008721767925,14.58106804,14.58041477,-0.0003623224329,-0.002607178409,0.001920536393,-0.00180168415,-0.008699570782,0.001417650376,-0.00132571056
9.731,-127.5946884,116.161293,-26.23936844,19.81143379,-2.308322291e-005,-0.001913119806,0.001666573458,-0.0005963627482,-0.008732086979,14.5810709,14.58041763,-0.0003627073893,-0.002610197989,0.001920630224,-0.001801640028,-0.008709897287,0.001417703694,-0.00132565212
9.741,-127.6036682,116.1569595,-26.24320984,19.80748367,-2.310757918e-005,-0.001913271844,0.001666441211,-0.0005970628699,-0.008742407896,14.58107471,14.58042049,-0.0003630934225,-0.00261321431,0.001920721959,-0.001801593695,-0.008720226586,0.001417757361,-0.001325594028
9.751,-127.6124573,116.1524277,-26.24705887,19.80355453,-2.313199366e-005,-0.001913421904,0.001666307217,-0.0005977620604,-0.008752815425,14.58107662,14.58042336,-0.0003634803579,-0.002616227604,0.001920812065,-0.001801545848,-0.008730678819,0.001417810912,-0.001325536636
9.761,-127.6210861,116.1477661,-26.2508812,19.7996788,-2.315640631e-005,-0.001913569751,0.001666171825,-0.0005984604941,-0.008762896992,14.58107948,14.58042622,-0.0003638674098,-0.002619237406,0.001920900657,-0.001801497187,-0.008740790188,0.001417863648,-0.001325480524
9.771,-127.6294708,116.1429825,-26.25466919,19.79586029,-2.31807735e-005,-0.001913715387,0.001666035037,-0.000599158695,-0.008772920817,14.58108234,14.58042908,-0.0003642538504,-0.002622242318,0.001920985989,-0.001801447594,-0.00875082612,0.001417916035,-0.001325425226
9.781,-127.6374969,116.1380768,-26.25843811,19.79207993,-2.320500062e-005,-0.001913858694,0.001665896853,-0.0005998564302,-0.008782871999,14.58108521,14.58043194,-0.0003646384284,-0.002625241177,0.001921067131,-0.00180139672,-0.00876079686,0.001417968306,-0.001325370511
9.791,-127.6451645,116.1330185,-26.26221085,19.78833199,-2.322899127e-005,-0.001914000139,0.001665757503,-0.0006005532341,-0.008792608976,14.58108807,14.5804348,-0.0003650197177,-0.002628237009,0.001921144314,-0.00180134445,-0.008770584129,0.001418020925,-0.001325316494
9.801,-127.6525116,116.1278076,-26.26600456,19.78461647,-2.325266723e-005,-0.001914140186,0.001665616524,-0.0006012484664,-0.008802239783,14.58108997,14.58043671,-0.0003653966414,-0.002631233772,0.001921218704,-0.001801290549,-0.008780275472,0.001418073778,-0.00132526306
9.811,-127.6596527,116.122406,-26.26979446,19.78092766,-2.327600123e-005,-0.00191427907,0.001665473916,-0.0006019420107,-0.008811822161,14.58109283,14.58043957,-0.0003657686757,-0.002634235891,0.001921291579,-0.00180123467,-0.00878991466,0.001418126398,-0.001325210207
9.821,-127.6666718,116.1167984,-26.27356339,19.7772541,-2.329900053e-005,-0.001914417138,0.001665329677,-0.0006026340998,-0.008821425959,14.58109474,14.58044147,-0.0003661361116,-0.002637245692,0.001921363641,-0.001801176695,-0.008799556643,0.001418178552,-0.001325157587
9.831,-127.6735992,116.1109772,-26.27731895,19.773592,-2.332171789e-005,-0.001914554159,0.001665183692,-0.0006033252575,-0.008831100538,14.5810976,14.58044434,-0.0003664996184,-0.002640263643,0.001921435003,-0.001801116392,-0.008809247985,0.001418230589,-0.001325105084
9.841,-127.6804581,116.1049423,-26.28108025,19.76992607,-2.334420969e-005,-0.001914690132,0.001665036194,-0.0006040158332,-0.00884086825,14.58109951,14.58044624,-0.0003668600693,-0.002643289044,0.001921505551,-0.00180105411,-0.008819014765,0.001418282976,-0.001325052581
9.851,-127.6872177,116.0986862,-26.28487015,19.76625061,-2.336653961e-005,-0.001914825174,0.001664887299,-0.0006047061761,-0.008850730024,14.58110142,14.58044815,-0.0003672184248,-0.002646321431,0.001921575051,-0.001800989499,-0.008828866296,0.001418335945,-0.001325000077
9.861,-127.6938629,116.0922241,-26.28869629,19.76255989,-2.338876766e-005,-0.001914959284,0.001664737007,-0.0006053962861,-0.008860677481,14.58110332,14.58045006,-0.0003675755288,-0.002649359871,0.00192164327,-0.00180092291,-0.008838797919,0.001418389496,-0.001324947225
9.871,-127.7003937,116.0855484,-26.29256439,19.75884819,-2.341094478e-005,-0.00191509258,0.001664585434,-0.0006060862215,-0.008870699443,14.58110619,14.58045292,-0.0003679321089,-0.002652404131,0.001921710209,-0.001800854225,-0.008848803118,0.00141844363,-0.001324894256
9.881,-127.7068176,116.0786819,-26.29646873,19.7551136,-2.343313463e-005,-0.001915225061,0.001664432581,-0.0006067758659,-0.008880747482,14.58110809,14.58045483,-0.0003682890674,-0.002655453747,0.001921776333,-0.001800783793,-0.00885881763,0.001418498461,-0.001324840821
9.891,-127.7131729,116.0716476,-26.30042076,19.75133705,-2.345541907e-005,-0.001915356843,0.00166427868,-0.0006074651028,-0.008891026489,14.58111,14.58045673,-0.0003686475975,-0.002658507554,0.001921841991,-0.001800711732,-0.008869068697,0.001418554108,-0.001324786688
9.901,-127.7194824,116.064415,-26.30441666,19.74751663,-2.347787449e-005,-0.00191548781,0.001664123614,-0.0006081538158,-0.008901395835,14.58111191,14.58045864,-0.0003690087469,-0.002661565319,0.0019219073,-0.001800637227,-0.008879417554,0.001418610336,-0.001324731973
9.911,-127.7257462,116.0569382,-26.3084507,19.74366188,-2.350059367e-005,-0.001915618312,0.001663967501,-0.0006088419468,-0.008911883458,14.58111382,14.58046055,-0.0003693738836,-0.002664625878,0.001921971911,-0.00180056016,-0.0088898791,0.001418667031,-0.001324676792
9.921,-127.7319336,116.0492325,-26.31251144,19.73977852,-2.352366937e-005,-0.001915747882,0.00166381069,-0.0006095299032,-0.008922490291,14.58111477,14.5804615,-0.0003697443171,-0.002667686203,0.001922035939,-0.001800480764,-0.008900450543,0.00141872419,-0.001324621378
9.931,-127.7380524,116.0413437,-26.31659889,19.73587036,-2.354717253e-005,-0.001915876754,0.001663653646,-0.0006102177431,-0.008933184668,14.58111668,14.58046341,-0.0003701210371,-0.002670743037,0.00192209892,-0.001800399739,-0.008911104873,0.0014187817,-0.001324565499
9.941,-127.744072,116.0333328,-26.32070541,19.73193932,-2.357114136e-005,-0.001916004694,0.001663496369,-0.0006109055248,-0.008943920024,14.58111858,14.58046532,-0.0003705045965,-0.002673793351,0.001922160853,-0.001800317899,-0.008921804838,0.001418839558,-0.001324509387
9.951,-127.7499771,116.0252457,-26.3248291,19.7279911,-2.359558493e-005,-0.001916131703,0.001663339091,-0.0006115931319,-0.008954654448,14.58112049,14.58046722,-0.0003708950826,-0.002676835051,0.001922221621,-0.001800235477,-0.008932513185,0.001418897649,-0.001324453042
