# "Time","Car.CFL.Tire.FrcC.y","Car.CFR.Tire.FrcC.y","Car.CRL.Tire.FrcC.y","Car.CRR.Tire.FrcC.y","Car.SideSlipAngle","Car.SteerAngleFL","Car.SteerAngleFR","Car.YawRate","Car.ay","Car.v","Car.vx","Car.vy","Driver.Steer.Ang","Vhcl.FL.SideSlip","Vhcl.FR.SideSlip","Vhcl.PoI.ay","Vhcl.RL.SideSlip","Vhcl.RR.SideSlip"
# "C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
# "s","N","N","N","N","rad","rad","rad","rad/s","m/s^2","m/s","m/s","m/s","rad","rad","rad","m/s^2","rad","rad"
14.951,-123.355835,123.355835,-25.03502083,25.03502083,-3.117066067e-013,-0.001806088374,0.001806088374,-1.553357161e-012,-1.721055416e-011,11.04209328,11.04163933,-3.357117969e-012,-8.387592731e-022,0.001876704395,-0.001876704395,-5.142965165e-009,0.001412085723,-0.001412085723
14.961,-123.3323059,123.3323059,-25.02169228,25.02169228,-3.117377775e-013,-0.00180580758,0.00180580758,-1.55360772e-012,-1.721077447e-011,11.04274178,11.04228783,-3.357617353e-012,-8.387592731e-022,0.001876465161,-0.001876465161,-5.112954504e-009,0.001411829027,-0.001411829027
14.971,-123.3086014,123.3086014,-25.00840378,25.00840378,-3.11768596e-013,-0.001805525739,0.001805525739,-1.553853942e-012,-1.722010728e-011,11.04338646,11.04293251,-3.358111749e-012,-8.387592731e-022,0.001876224182,-0.001876224182,-5.082880339e-009,0.001411572681,-0.001411572681
14.981,-123.2847214,123.2847214,-24.99516106,24.99516106,-3.117989265e-013,-0.00180524285,0.00180524285,-1.554134208e-012,-1.724248695e-011,11.04402733,11.04357243,-3.358599857e-012,-8.387592731e-022,0.001875981456,-0.001875981456,-5.052749774e-009,0.0014113168,-0.0014113168
14.991,-123.2606888,123.2606888,-24.9819603,24.9819603,-3.118293384e-013,-0.001804959029,0.001804959029,-1.554365252e-012,-1.724099336e-011,11.04466438,11.04420948,-3.35908688e-012,-8.387592731e-022,0.001875737216,-0.001875737216,-5.022531724e-009,0.001411061268,-0.001411061268
15.001,-123.2365112,123.2365112,-24.96880341,24.96880341,-3.118604279e-013,-0.00180467451,0.00180467451,-1.554522136e-012,-1.722996919e-011,11.04529667,11.04484177,-3.359579325e-012,-8.387592731e-022,0.001875491464,-0.001875491464,-4.992239955e-009,0.001410806319,-0.001410806319
15.011,-123.2121887,123.2121887,-24.95569229,24.95569229,-3.118915987e-013,-0.001804389176,0.001804389176,-1.554790584e-012,-1.724731989e-011,11.04592609,11.04547119,-3.360072637e-012,-8.387592731e-022,0.001875244314,-0.001875244314,-4.961932643e-009,0.001410551835,-0.001410551835
15.021,-123.1877365,123.1877365,-24.94262695,24.94262695,-3.119225527e-013,-0.001804103144,0.001804103144,-1.554971538e-012,-1.722750068e-011,11.0465517,11.04609585,-3.360561395e-012,-8.387592731e-022,0.001874995884,-0.001874995884,-4.93153518e-009,0.001410297817,-0.001410297817
15.031,-123.1631622,123.1631622,-24.92960739,24.92960739,-3.119532627e-013,-0.001803816529,0.001803816529,-1.555138288e-012,-1.724126397e-011,11.0471735,11.04671764,-3.361046034e-012,-8.387592731e-022,0.001874746289,-0.001874746289,-4.901131945e-009,0.00141004438,-0.00141004438
15.041,-123.1384735,123.1384735,-24.91663551,24.91663551,-3.119839456e-013,-0.001803529449,0.001803529449,-1.555444358e-012,-1.724989075e-011,11.04779148,11.04733467,-3.361530672e-012,-8.387592731e-022,0.001874495531,-0.001874495531,-4.87067453e-009,0.001409791526,-0.001409791526
15.051,-123.1136856,123.1136856,-24.9037075,24.9037075,-3.120140593e-013,-0.001803241903,0.001803241903,-1.555632142e-012,-1.723696706e-011,11.04840469,11.04794788,-3.362006637e-012,-8.387592731e-022,0.001874243841,-0.001874243841,-4.840174928e-009,0.001409539254,-0.001409539254
