# "Time","Car.CFL.Tire.FrcC.y","Car.CFR.Tire.FrcC.y","Car.CRL.Tire.FrcC.y","Car.CRR.Tire.FrcC.y","Car.SideSlipAngle","Car.SteerAngleFL","Car.SteerAngleFR","Car.YawRate","Car.ay","Car.v","Car.vx","Car.vy","Driver.Steer.Ang","Vhcl.FL.SideSlip","Vhcl.FR.SideSlip","Vhcl.PoI.ay","Vhcl.RL.SideSlip","Vhcl.RR.SideSlip"
# "C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
# "s","N","N","N","N","rad","rad","rad","rad/s","m/s^2","m/s","m/s","m/s","rad","rad","rad","m/s^2","rad","rad"
6.621,-107.1782913,107.1782913,-22.39575005,22.39574814,3.549804548e-011,-0.0016515319,0.0016515319,2.408749415e-011,-2.805927268e-009,7.01381588,7.013419151,2.442884228e-010,-4.049528036e-018,0.001717386884,-0.001717386767,-1.671861938e-008,0.001350311446,-0.00135031133
6.631,-107.3146057,107.3146057,-22.43253517,22.43253136,3.127680406e-011,-0.001652750303,0.001652750303,2.532023549e-011,-2.77513057e-009,7.012984753,7.012588978,2.14516141e-010,-3.675986506e-018,0.00171868701,-0.001718686894,-1.645009817e-008,0.001351081068,-0.001351081068
6.641,-107.449234,107.4492264,-22.46803284,22.46803093,2.709890298e-011,-0.001653953572,0.001653953572,2.633441555e-011,-2.729624304e-009,7.012167931,7.011773109,1.850920112e-010,-3.334632435e-018,0.001719971187,-0.001719971187,-1.617111778e-008,0.001351826941,-0.001351826824
6.651,-107.5822067,107.5822067,-22.50217056,22.50216866,2.298676353e-011,-0.001655141939,0.001655141939,2.713605382e-011,-2.670383248e-009,7.01136446,7.010970592,1.56171423e-010,-3.023771344e-018,0.001721239998,-0.001721239998,-1.588263743e-008,0.001352547784,-0.001352547668
6.661,-107.7135849,107.7135849,-22.53488541,22.5348835,1.896120067e-011,-0.001656315522,0.001656315522,2.773186368e-011,-2.598567583e-009,7.010574341,7.010181904,1.278983308e-010,-2.741709372e-018,0.001722493791,-0.001722493675,-1.558577623e-008,0.001353242667,-0.001353242667
6.671,-107.8434067,107.843399,-22.56612206,22.56612015,1.504138654e-011,-0.00165747432,0.00165747432,2.812953342e-011,-2.515255337e-009,7.009797573,7.00940609,1.004050523e-010,-2.487599488e-018,0.001723732799,-0.001723732799,-1.528157512e-008,0.001353910775,-0.001353910775
6.681,-107.9716873,107.9716873,-22.59583855,22.59583664,1.124483232e-011,-0.001658618567,0.001658618567,2.833748687e-011,-2.421562728e-009,7.00903368,7.00864315,7.381206063e-011,-2.257206526e-018,0.001724957605,-0.001724957605,-1.497111057e-008,0.001354551641,-0.001354551641
6.691,-108.0984802,108.0984802,-22.62400055,22.62399864,7.587365632e-012,-0.001659748261,0.001659748261,2.836478795e-011,-2.318615522e-009,7.008282661,7.007893085,4.82279737e-011,-2.049683454e-018,0.001726168441,-0.001726168324,-1.465545374e-008,0.001355164684,-0.001355164684
6.701,-108.2238007,108.2238007,-22.65058517,22.65058327,4.083131836e-012,-0.00166086352,0.00166086352,2.82212153e-011,-2.207551253e-009,7.007544518,7.007155895,2.37495041e-011,-1.858254008e-018,0.001727365423,-0.001727365423,-1.433570329e-008,0.001355749671,-0.001355749671
6.711,-108.3476791,108.3476791,-22.67558098,22.67557907,7.446006702e-013,-0.001661964459,0.001661964459,2.791680428e-011,-2.089475482e-009,7.006818295,7.006430626,4.615483343e-013,-1.685459184e-018,0.001728548901,-0.001728548901,-1.40128984e-008,0.001356306486,-0.001356306486
