# "Time","Car.CFL.Tire.FrcC.y","Car.CFR.Tire.FrcC.y","Car.CRL.Tire.FrcC.y","Car.CRR.Tire.FrcC.y","Car.SideSlipAngle","Car.SteerAngleFL","Car.SteerAngleFR","Car.YawRate","Car.ay","Car.v","Car.vx","Car.vy","Driver.Steer.Ang","Vhcl.FL.SideSlip","Vhcl.FR.SideSlip","Vhcl.PoI.ay","Vhcl.RL.SideSlip","Vhcl.RR.SideSlip"
# "C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
# "s","N","N","N","N","rad","rad","rad","rad/s","m/s^2","m/s","m/s","m/s","rad","rad","rad","m/s^2","rad","rad"
14.271,-124.1120453,124.1120453,-25.66109848,25.66109848,-3.095880757e-013,-0.001817735378,0.001817735378,-1.53350878e-012,-1.691370828e-011,10.99046803,10.99002838,-3.319998573e-012,-8.387592731e-022,0.001884454861,-0.001884454861,-6.578237066e-009,0.001423948095,-0.001423948095
14.281,-124.1187363,124.1187363,-25.65811729,25.65811729,-3.096265377e-013,-0.001817725599,0.001817725599,-1.5338245e-012,-1.692021523e-011,10.99129963,10.99085999,-3.320662322e-012,-8.387592731e-022,0.001884526107,-0.001884526107,-6.572914213e-009,0.001423892449,-0.001423892449
14.291,-124.1248016,124.1248016,-25.65543938,25.65543938,-3.096662466e-013,-0.00181770802,0.00181770802,-1.534250916e-012,-1.694396706e-011,10.99213123,10.99169159,-3.321339948e-012,-8.387592731e-022,0.00188458676,-0.00188458676,-6.566972299e-009,0.001423841459,-0.001423841459
14.301,-124.1297607,124.1297607,-25.6530304,25.6530304,-3.097066332e-013,-0.001817683456,0.001817683456,-1.534517305e-012,-1.693731093e-011,10.99296188,10.99252129,-3.322022562e-012,-8.387592731e-022,0.001884631929,-0.001884631929,-6.560392229e-009,0.001423794194,-0.001423794194
14.311,-124.1334152,124.1334152,-25.65082359,25.65082359,-3.097479142e-013,-0.001817652723,0.001817652723,-1.534840072e-012,-1.693899708e-011,10.99379158,10.99335098,-3.32271515e-012,-8.387592731e-022,0.001884662546,-0.001884662546,-6.553193099e-009,0.001423749258,-0.001423749258
14.321,-124.1358948,124.1358948,-25.64874649,25.64874649,-3.097898457e-013,-0.001817616634,0.001817616634,-1.535123916e-012,-1.696694521e-011,10.99462032,10.99417973,-3.323413376e-012,-8.387592731e-022,0.001884682686,-0.001884682686,-6.545355813e-009,0.001423705369,-0.001423705369
14.331,-124.1375351,124.1375351,-25.64672279,25.64672279,-3.098312893e-013,-0.001817575307,0.001817575307,-1.535510651e-012,-1.69599456e-011,10.99544811,10.99500751,-3.324107049e-012,-8.387592731e-022,0.001884697122,-0.001884697122,-6.536825747e-009,0.001423661364,-0.001423661364
14.341,-124.1386414,124.1386414,-25.64468575,25.64468575,-3.09871459e-013,-0.001817528857,0.001817528857,-1.535866703e-012,-1.695987101e-011,10.99627399,10.9958334,-3.324785542e-012,-8.387592731e-022,0.001884708297,-0.001884708297,-6.527647312e-009,0.001423616428,-0.001423616428
14.351,-124.1393738,124.1393738,-25.64258194,25.64258194,-3.099108969e-013,-0.001817477052,0.001817477052,-1.536231212e-012,-1.697147804e-011,10.99709988,10.99665928,-3.325455362e-012,-8.387592731e-022,0.001884716796,-0.001884716796,-6.51783516e-009,0.001423569629,-0.001423569629
14.361,-124.1397476,124.1397476,-25.64035797,25.64035797,-3.099492776e-013,-0.001817419543,0.001817419543,-1.536539342e-012,-1.696484446e-011,10.99792385,10.99748325,-3.326111955e-012,-8.387592731e-022,0.001884721336,-0.001884721336,-6.507384853e-009,0.001423520385,-0.001423520385
14.371,-124.1396866,124.1396866,-25.63797379,25.63797379,-3.099880378e-013,-0.001817356446,0.001817356446,-1.536821993e-012,-1.697651568e-011,10.99874592,10.99830532,-3.326771584e-012,-8.387592731e-022,0.001884720521,-0.001884720521,-6.496323035e-009,0.001423467882,-0.001423467882
14.381,-124.1390762,124.1390762,-25.63538551,25.63538551,-3.100260662e-013,-0.001817287644,0.001817287644,-1.537087189e-012,-1.695493919e-011,10.99956703,10.99912643,-3.327422105e-012,-8.387592731e-022,0.001884713187,-0.001884713187,-6.484625281e-009,0.001423411537,-0.001423411537
14.391,-124.1378708,124.1378708,-25.63255692,25.63255692,-3.100630104e-013,-0.001817213488,0.001817213488,-1.537464817e-012,-1.699655347e-011,11.00038719,10.99994659,-3.328061134e-012,-8.387592731e-022,0.001884699333,-0.001884699333,-6.472379965e-009,0.001423350768,-0.001423350768
14.401,-124.136055,124.136055,-25.62945557,25.62945557,-3.100989788e-013,-0.001817133976,0.001817133976,-1.5376938e-012,-1.697399513e-011,11.00120544,11.00076485,-3.328686719e-012,-8.387592731e-022,0.00188467931,-0.00188467931,-6.459478286e-009,0.00142328511,-0.00142328511
14.411,-124.1336746,124.1336746,-25.62605095,25.62605095,-3.101344593e-013,-0.001817049226,0.001817049226,-1.538084981e-012,-1.699589428e-011,11.00202179,11.00158119,-3.329308183e-012,-8.387592731e-022,0.001884653699,-0.001884653699,-6.446024603e-009,0.001423214097,-0.001423214097
14.421,-124.1307678,124.1307678,-25.62231827,25.62231827,-3.10168693e-013,-0.001816959353,0.001816959353,-1.538399724e-012,-1.697681058e-011,11.00283623,11.00239563,-3.329913819e-012,-8.387592731e-022,0.001884623081,-0.001884623081,-6.431950972e-009,0.001423137146,-0.001423137146
14.431,-124.1273804,124.1273804,-25.61823654,25.61823654,-3.102019238e-013,-0.001816864358,0.001816864358,-1.538781038e-012,-1.699794645e-011,11.00364971,11.00320816,-3.330508178e-012,-8.387592731e-022,0.001884587691,-0.001884587691,-6.417351539e-009,0.001423054142,-0.001423054142
14.441,-124.1235123,124.1235123,-25.6137867,25.6137867,-3.102346938e-013,-0.001816764125,0.001816764125,-1.539060979e-012,-1.698033207e-011,11.00446033,11.00401878,-3.331095599e-012,-8.387592731e-022,0.001884547644,-0.001884547644,-6.402154362e-009,0.001422964735,-0.001422964735
14.451,-124.1191711,124.1191711,-25.60895348,25.60895348,-3.102668404e-013,-0.001816658769,0.001816658769,-1.539366399e-012,-1.700689242e-011,11.00526905,11.00482845,-3.331674997e-012,-8.387592731e-022,0.001884502592,-0.001884502592,-6.386462026e-009,0.001422868692,-0.001422868692
14.461,-124.1143494,124.1143494,-25.60372734,25.60372734,-3.102986347e-013,-0.001816548291,0.001816548291,-1.53974587e-012,-1.702726501e-011,11.00607681,11.00563526,-3.332250274e-012,-8.387592731e-022,0.001884452533,-0.001884452533,-6.370219907e-009,0.001422765898,-0.001422765898
14.471,-124.1090393,124.1090393,-25.59810066,25.59810066,-3.103296157e-013,-0.001816432807,0.001816432807,-1.540022775e-012,-1.701762169e-011,11.00688171,11.00644016,-3.332814276e-012,-8.387592731e-022,0.001884397352,-0.001884397352,-6.353439108e-009,0.001422656118,-0.001422656118
14.481,-124.1032333,124.1032333,-25.59206963,25.59206963,-3.103599734e-013,-0.0018163122,0.0018163122,-1.54038414e-012,-1.70301967e-011,11.00768471,11.0072422,-3.333371339e-012,-8.387592731e-022,0.001884337165,-0.001884337165,-6.336164482e-009,0.00142253947,-0.00142253947
14.491,-124.0969391,124.0969391,-25.58562851,25.58562851,-3.103894908e-013,-0.001816186588,0.001816186588,-1.540686957e-012,-1.702640112e-011,11.00848484,11.00804329,-3.333917344e-012,-8.387592731e-022,0.001884271973,-0.001884271973,-6.318376933e-009,0.001422415604,-0.001422415604
14.501,-124.0901718,124.0901718,-25.57878304,25.57878304,-3.104187643e-013,-0.001816056087,0.001816056087,-1.540929927e-012,-1.701120494e-011,11.00928307,11.00884151,-3.334459011e-012,-8.387592731e-022,0.001884202007,-0.001884202007,-6.300095556e-009,0.001422284869,-0.001422284869
14.511,-124.0829239,124.0829239,-25.5715313,25.5715313,-3.104474414e-013,-0.001815920579,0.001815920579,-1.541324902e-012,-1.704796027e-011,11.01007938,11.00963688,-3.334994173e-012,-8.387592731e-022,0.001884127152,-0.001884127269,-6.281380749e-009,0.00142214715,-0.00142214715
14.521,-124.0752106,124.0752106,-25.56387901,25.56387901,-3.104750072e-013,-0.001815780299,0.001815780299,-1.541511168e-012,-1.702483293e-011,11.01087284,11.01043034,-3.33551394e-012,-8.387592731e-022,0.00188404764,-0.001884047757,-6.26215968e-009,0.001422002446,-0.001422002446
14.531,-124.0670242,124.0670319,-25.55583572,25.55583572,-3.105027899e-013,-0.001815635129,0.001815635129,-1.541920563e-012,-1.704560104e-011,11.01166344,11.01122189,-3.336036959e-012,-8.387592731e-022,0.001883963472,-0.001883963472,-6.242506956e-009,0.00142185099,-0.00142185099
14.541,-124.0583878,124.0583878,-25.54740715,25.54740715,-3.105294613e-013,-0.001815485186,0.001815485186,-1.542214273e-012,-1.702455364e-011,11.01245213,11.01200962,-3.336545883e-012,-8.387592731e-022,0.001883874531,-0.001883874531,-6.222397708e-009,0.001421692781,-0.001421692781
14.551,-124.0492783,124.0492783,-25.53860283,25.53860283,-3.10556214e-013,-0.001815330354,0.001815330354,-1.542590057e-012,-1.706217286e-011,11.01323795,11.01279545,-3.337054808e-012,-8.387592731e-022,0.001883780817,-0.001883780817,-6.201903435e-009,0.00142152817,-0.00142152817
14.561,-124.039711,124.039711,-25.52943802,25.52943802,-3.105835088e-013,-0.001815170981,0.001815170981,-1.542761795e-012,-1.704656034e-011,11.01402187,11.01357841,-3.337566334e-012,-8.387592731e-022,0.001883682446,-0.001883682446,-6.180935319e-009,0.001421357039,-0.001421357039
14.571,-124.0296783,124.0296783,-25.51992035,25.51992035,-3.106112373e-013,-0.001815006835,0.001815006835,-1.54309909e-012,-1.704255834e-011,11.01480198,11.01435947,-3.338082848e-012,-8.387592731e-022,0.001883579302,-0.001883579302,-6.159583066e-009,0.001421179972,-0.001421179972
14.581,-124.0191956,124.0191956,-25.51006508,25.51006508,-3.106384778e-013,-0.00181483815,0.00181483815,-1.543380766e-012,-1.705226585e-011,11.01558018,11.01513672,-3.338592207e-012,-8.387592731e-022,0.001883471617,-0.001883471617,-6.137843567e-009,0.00142099685,-0.00142099685
14.591,-124.008255,124.008255,-25.49988747,25.49988747,-3.106658539e-013,-0.001814664924,0.001814664924,-1.543717953e-012,-1.706849245e-011,11.01635551,11.01591206,-3.339102432e-012,-8.387592731e-022,0.001883359393,-0.001883359393,-6.115720819e-009,0.001420807908,-0.001420807908
14.601,-123.9968643,123.9968643,-25.48939896,25.48939896,-3.106920374e-013,-0.001814487157,0.001814487157,-1.543979354e-012,-1.706586088e-011,11.01712799,11.01668453,-3.339597045e-012,-8.387592731e-022,0.001883242512,-0.001883242512,-6.093212157e-009,0.001420613611,-0.001420613611
14.611,-123.9850235,123.9850235,-25.47861862,25.47861862,-3.107182209e-013,-0.001814305084,0.001814305084,-1.544283581e-012,-1.707603156e-011,11.01789761,11.01745319,-3.340091224e-012,-8.387592731e-022,0.001883121091,-0.001883121091,-6.070348224e-009,0.001420414075,-0.001420414075
14.621,-123.9727402,123.9727402,-25.46755981,25.46755981,-3.107445399e-013,-0.001814118586,0.001814118586,-1.544574906e-012,-1.705442038e-011,11.01866341,11.01821995,-3.34058497e-012,-8.387592731e-022,0.001882995246,-0.001882995246,-6.04710193e-009,0.001420209417,-0.001420209417
